service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA+r2884+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1589+1","0","0","0","0","0","1","0","20170410","20170709"
"TA+r1590+1","0","0","0","0","0","1","1","20170410","20170709"
"TA+r1218+1","0","0","0","0","0","1","1","20170410","20170709"
"TA+r1467+1","0","1","0","0","0","0","0","20170410","20170709"
"TA+r1594+1","0","0","0","0","0","0","1","20170410","20170709"
"TA+r1217+1","0","0","0","0","0","1","0","20170410","20170709"
"TA+r1230+1","0","0","0","0","0","0","1","20170410","20170709"
"TA+r1986+1","0","0","0","0","1","1","1","20170410","20170709"
"TA+r1992+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1965+1","0","0","0","0","0","1","1","20170410","20170709"
"TA+r1994+1","0","0","0","0","1","0","0","20170410","20170709"
"TA+r1607+1","1","1","1","1","0","0","0","20170410","20170709"
"TA+r1609+1","0","0","0","0","1","0","0","20170410","20170709"
"TA+r1259+1","1","1","1","1","0","0","0","20170410","20170709"
"TA+r1262+1","0","0","0","0","1","0","0","20170410","20170709"
"TA+r1236+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1254+1","0","1","1","1","0","0","0","20170410","20170709"
"TA+r1882+1","0","0","0","0","1","0","0","20170410","20170709"
"TA+r1664+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1853+1","0","0","1","1","0","0","0","20170410","20170709"
"TA+r1912+1","0","1","0","0","0","0","0","20170410","20170709"
"TA+r1999+1","0","0","1","0","0","0","0","20170410","20170709"
"TA+r2001+1","0","0","0","1","0","0","0","20170410","20170709"
"TA+r2005+1","0","0","0","0","1","0","0","20170410","20170709"
"TA+r2006+1","0","1","0","0","0","0","0","20170410","20170709"
"TA+r1842+1","0","0","1","0","0","0","0","20170410","20170709"
"TA+r1858+1","0","0","0","1","0","0","0","20170410","20170709"
"TA+r1868+1","0","0","1","1","0","0","0","20170410","20170709"
"TA+r1428+1","0","0","1","0","0","0","0","20170410","20170709"
"TA+r1628+1","0","0","0","1","0","0","0","20170410","20170709"
"TA+r1435+1","1","0","1","0","0","0","0","20170410","20170709"
"TA+r1602+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1606+1","0","1","1","1","0","0","0","20170410","20170709"
"TA+r1438+1","0","1","1","0","0","0","0","20170410","20170709"
"TA+r1201+1","0","1","0","1","1","0","0","20170410","20170709"
"TA+r1219+1","0","0","1","0","0","0","0","20170410","20170709"
"TA+r1586+1","1","1","0","1","1","0","0","20170410","20170709"
"TA+r1591+1","0","0","1","0","0","0","0","20170410","20170709"
"TA+r1854+1","0","1","1","1","0","0","0","20170410","20170709"
"TA+r2000+1","0","1","1","0","0","0","0","20170410","20170709"
"TA+r1911+1","0","0","0","1","1","0","0","20170410","20170709"
"TA+r1587+1","0","1","1","1","1","0","0","20170410","20170709"
"TA+r1212+1","0","1","1","1","1","0","0","20170410","20170709"
"TA+r2007+1","0","0","1","0","1","0","0","20170410","20170709"
"TA+r2002+1","0","1","0","1","0","0","0","20170410","20170709"
"TA+r1588+1","1","1","1","1","1","0","0","20170410","20170709"
"TA+r1216+1","1","1","1","1","1","0","0","20170410","20170709"
"TA+r1668+1","0","1","0","1","0","0","0","20170410","20170709"
"TA+r3386+1","1","1","1","1","0","0","0","20170410","20170709"
"TA+r1568+1","0","0","1","1","1","0","0","20170410","20170709"
"TA+r2009+1","0","0","0","1","1","0","0","20170410","20170709"
"TA+r1901+1","0","0","1","0","1","0","0","20170410","20170709"
"TA+r1458+1","1","0","0","0","0","0","0","20170410","20170709"
"TA+r1913+1","0","0","0","0","0","1","0","20170410","20170709"
"TA+r1997+1","1","0","0","0","1","0","1","20170410","20170709"
"TA+r1063+1","0","0","0","0","0","1","0","20170410","20170709"
"TA+r1108+1","0","0","0","0","0","0","1","20170410","20170709"
"TA+r1998+1","0","0","1","1","1","0","0","20170410","20170709"
"TA+r1427+1","1","1","0","0","0","0","0","20170410","20170709"
"TA+r1803+1","0","0","1","1","1","0","0","20170410","20170709"
