service_id,date,exception_type
"TA+r1063+1","20170415","2"
"TA+r1063+1","20170429","2"
"TA+r1063+1","20170506","2"
"TA+r1063+1","20170513","2"
"TA+r1063+1","20170520","2"
"TA+r1063+1","20170527","2"
"TA+r1063+1","20170603","2"
"TA+r1063+1","20170610","2"
"TA+r1063+1","20170617","2"
"TA+r1063+1","20170624","2"
"TA+r1063+1","20170701","2"
"TA+r1063+1","20170708","2"
"TA+r1108+1","20170416","2"
"TA+r1108+1","20170430","2"
"TA+r1108+1","20170507","2"
"TA+r1108+1","20170514","2"
"TA+r1108+1","20170521","2"
"TA+r1108+1","20170528","2"
"TA+r1108+1","20170604","2"
"TA+r1108+1","20170611","2"
"TA+r1108+1","20170618","2"
"TA+r1108+1","20170625","2"
"TA+r1108+1","20170702","2"
"TA+r1108+1","20170709","2"
"TA+r1123+1","20170410","2"
"TA+r1123+1","20170417","2"
"TA+r1123+1","20170501","2"
"TA+r1123+1","20170508","2"
"TA+r1123+1","20170515","2"
"TA+r1123+1","20170522","2"
"TA+r1123+1","20170529","2"
"TA+r1123+1","20170605","2"
"TA+r1123+1","20170612","2"
"TA+r1123+1","20170619","2"
"TA+r1123+1","20170626","2"
"TA+r1123+1","20170703","2"
"TA+r1194+1","20170410","2"
"TA+r1194+1","20170417","2"
"TA+r1194+1","20170501","2"
"TA+r1194+1","20170508","2"
"TA+r1194+1","20170515","2"
"TA+r1194+1","20170522","2"
"TA+r1194+1","20170529","2"
"TA+r1194+1","20170605","2"
"TA+r1194+1","20170612","2"
"TA+r1194+1","20170619","2"
"TA+r1194+1","20170626","2"
"TA+r1194+1","20170703","2"
"TA+r1201+1","20170411","2"
"TA+r1201+1","20170413","2"
"TA+r1201+1","20170414","2"
"TA+r1201+1","20170418","2"
"TA+r1201+1","20170420","2"
"TA+r1201+1","20170421","2"
"TA+r1201+1","20170425","2"
"TA+r1201+1","20170427","2"
"TA+r1201+1","20170428","2"
"TA+r1201+1","20170502","2"
"TA+r1201+1","20170504","2"
"TA+r1201+1","20170505","2"
"TA+r1212+1","20170411","2"
"TA+r1212+1","20170412","2"
"TA+r1212+1","20170413","2"
"TA+r1212+1","20170414","2"
"TA+r1212+1","20170418","2"
"TA+r1212+1","20170419","2"
"TA+r1212+1","20170420","2"
"TA+r1212+1","20170421","2"
"TA+r1212+1","20170425","2"
"TA+r1212+1","20170426","2"
"TA+r1212+1","20170427","2"
"TA+r1212+1","20170428","2"
"TA+r1212+1","20170502","2"
"TA+r1212+1","20170503","2"
"TA+r1212+1","20170504","2"
"TA+r1212+1","20170505","2"
"TA+r1216+1","20170410","2"
"TA+r1216+1","20170411","2"
"TA+r1216+1","20170412","2"
"TA+r1216+1","20170413","2"
"TA+r1216+1","20170414","2"
"TA+r1216+1","20170417","2"
"TA+r1216+1","20170418","2"
"TA+r1216+1","20170419","2"
"TA+r1216+1","20170420","2"
"TA+r1216+1","20170421","2"
"TA+r1216+1","20170424","2"
"TA+r1216+1","20170425","2"
"TA+r1216+1","20170426","2"
"TA+r1216+1","20170427","2"
"TA+r1216+1","20170428","2"
"TA+r1216+1","20170501","2"
"TA+r1216+1","20170502","2"
"TA+r1216+1","20170503","2"
"TA+r1216+1","20170504","2"
"TA+r1216+1","20170505","2"
"TA+r1217+1","20170415","2"
"TA+r1217+1","20170422","2"
"TA+r1217+1","20170429","2"
"TA+r1218+1","20170415","2"
"TA+r1218+1","20170416","2"
"TA+r1218+1","20170422","2"
"TA+r1218+1","20170423","2"
"TA+r1218+1","20170429","2"
"TA+r1218+1","20170430","2"
"TA+r1219+1","20170412","2"
"TA+r1219+1","20170419","2"
"TA+r1219+1","20170426","2"
"TA+r1219+1","20170503","2"
"TA+r1230+1","20170416","2"
"TA+r1230+1","20170423","2"
"TA+r1230+1","20170430","2"
"TA+r1234+1","20170410","2"
"TA+r1234+1","20170413","2"
"TA+r1234+1","20170417","2"
"TA+r1234+1","20170420","2"
"TA+r1234+1","20170424","2"
"TA+r1234+1","20170427","2"
"TA+r1234+1","20170501","2"
"TA+r1234+1","20170504","2"
"TA+r1236+1","20170410","2"
"TA+r1236+1","20170417","2"
"TA+r1236+1","20170424","2"
"TA+r1236+1","20170501","2"
"TA+r1254+1","20170411","2"
