route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
"2-BMT-sj2-1","X0000","","Blue Mountains Line","Intercity Trains Network","2","F6891F","FFFFFF"
"2-HUN-sj2-1","X0000","","Hunter Line","Intercity Trains Network","2","F6891F","FFFFFF"
"2-CCN-sj2-1","X0000","","Central Coast and Newcastle Line","Intercity Trains Network","2","F6891F","FFFFFF"
"2-SCO-sj2-1","X0000","","South Coast Line","Intercity Trains Network","2","F6891F","FFFFFF"
"2-SHL-sj2-1","X0000","","Southern Highlands Line","Intercity Trains Network","2","F6891F","FFFFFF"
"2-T1-A-sj2-1","x0001","","T1 North Shore, Northern and Western Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T1-B-sj2-1","x0001","","T1 North Shore, Northern and Western Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T1-C-sj2-1","x0001","","T1 North Shore, Northern and Western Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T2-A-sj2-1","x0001","","T2 Airport, Inner West and South Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T2-B-sj2-1","x0001","","T2 Airport, Inner West and South Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T3-sj2-1","x0001","","T3 Bankstown Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T4-sj2-1","x0001","","T4 Eastern Suburbs and Illawarra Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T5-sj2-1","x0001","","T5 Cumberland Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T6-sj2-1","x0001","","T6 Carlingford Line","Sydney Trains Network","2","F6891F","FFFFFF"
"2-T7-sj2-1","x0001","","T7 Olympic Park Line","Sydney Trains Network","2","F6891F","FFFFFF"
"20-661-sj2-1","2433","661","Riverstone to Windsor via McGraths Hill and Vineyard","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-662-sj2-1","2433","662","Oakville and Maraylya to Riverstone","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-663-sj2-1","2433","663","Wisemans Ferry to Windsor via Pitt Town and Oakville (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-664-sj2-1","2433","664","Maraylya to Windsor via McGraths Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-668-sj2-1","2433","668","Richmond to Windsor via Glossodia and Wilberforce","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-669-sj2-1","2433","669","Sackville to Wilberforce via Ebenezer","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-673-sj2-1","2433","673","Penrith to Windsor via Cranebrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-674-sj2-1","2433","674","Mount Druitt to Windsor via Shanes Park and South Windsor","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-675-A-sj2-1","2433","675A","Windsor to Richmond via RAAF Base and Bligh Park (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-675-C-sj2-1","2433","675C","Windsor to Richmond via Bligh Park and RAAF Base (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-676-sj2-1","2433","676","Windsor to South Windsor (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-677-sj2-1","2433","677","Richmond to Penrith via Londonderry","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-678-sj2-1","2433","678","Richmond to Penrith via Cranebrook","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-680-sj2-1","2433","680","Richmond to Bowen Mountain via Grose Vale and Grose Wold (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-682-sj2-1","2433","682","Kurrajong to Richmond via Bells Line of Rd","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-718-sj2-1","2433","718","Kings Langley to Seven Hills","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-721-sj2-1","2433","721","Blacktown to Blacktown Hospital (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-722-sj2-1","2433","722","Blacktown to Prospect via Flushcombe Rd (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-723-sj2-1","2433","723","Mount Druitt to Blacktown via Eastern Creek","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-724-sj2-1","2433","724","Blacktown to Arndell Park via Huntingwood (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-726-sj2-1","2433","726","Blacktown to Doonside via Monash Rd (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-728-sj2-1","2433","728","Mount Druitt to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-729-sj2-1","2433","729","Mount Druitt to Blacktown via Minchinbury","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-738-sj2-1","2433","738","Mount Druitt and Rooty Hill to Eastern Creek and Horsley Park (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-739-V-sj2-1","2433","739V","Mount Druitt to Mount Druitt South (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-740-sj2-1","2433","740","Macquarie Park to Plumpton via Stanhope Gardens","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-743-sj2-1","2433","743","Kings Langley to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-744-sj2-1","2433","744","Blacktown Industrial Area to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-745-sj2-1","2433","745","Castle Hill to St Marys via Stanhope Gardens","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-746-sj2-1","2433","746","Riverstone to Box Hill and Rouse Hill (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-749-sj2-1","2433","749","Marsden Park to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-750-sj2-1","2433","750","Blacktown to Mount Druitt via Bidwill","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-751-sj2-1","2433","751","Colebee to Blacktown","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-752-sj2-1","2433","752","Rouse Hill to Blacktown via Quakers Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-753-sj2-1","2433","753","Blacktown to Doonside (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-754-sj2-1","2433","754","Blacktown to Mount Druitt via Hassle Grove","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-755-sj2-1","2433","755","Plumpton and Shalvey to Mount Druitt","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-756-sj2-1","2433","756","Blacktown to Mount Druitt via Woodcroft and Plumpton","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-757-sj2-1","2433","757","Riverstone to Mount Druitt via Marsden Park and Rooty Hill","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-758-sj2-1","2433","758","St Marys to Mount Druitt via Tregear and Shalvey","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-759-sj2-1","2433","759","St Marys to Mount Druitt via Ropes Crossing","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-761-sj2-1","2433","761","Mount Druitt to Bidwill (Loop Service)","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-770-sj2-1","2433","770","Mount Druitt to Penrith via St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-771-sj2-1","2433","771","Mount Druitt to St Marys via Colyton","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-774-sj2-1","2433","774","Mount Druitt to Penrith via Nepean Hospital","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-775-sj2-1","2433","775","Mount Druitt to Penrith via Erskine Park","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-776-sj2-1","2433","776","Mount Druitt to Penrith via St Clair","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-778-sj2-1","2433","778","Claremont Meadows to St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-779-sj2-1","2433","779","Erskine Park to St Marys","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-780-sj2-1","2433","780","Mount Druitt to Penrith via Ropes Crossing","Sydney Buses Network","3","00B5EF","FFFFFF"
"20-781-sj2-1","2433","781","St Marys to Penrith via Glenmore Park","Sydney Buses Network","3","00B5EF","FFFFFF"
